#OTU ID	Bn27	Bn28	Bn31	Bn32	Bn35	Bn36	Bn63	Bn64	Bn67	Bn68	Bn71	Bn72
OTU751	0	1	2	3	1	3	0	6	2	2	3	5
OTU936	3	10	0	6	5	8	2	6	0	6	22	17
OTU1630	1	4	0	0	0	0	4	1	1	0	3	1
OTU2069	7	2	0	2	0	10	2	6	0	5	0	3
OTU1365	1	2	1	6	1	2	0	4	0	2	0	2
OTU2198	0	7	2	2	0	1	4	2	0	8	3	0
OTU1722	1	1	0	5	3	0	3	7	0	1	6	4
OTU849	1	3	0	5	0	2	2	6	8	1	1	3
OTU1128	3	0	0	1	1	1	2	1	2	0	2	2
OTU2030	1	1	1	3	0	0	0	1	0	0	1	0
OTU1969	2	13	4	9	0	1	1	2	1	1	0	2
OTU812	3	3	2	2	0	0	3	1	0	4	0	1
OTU1717	4	0	4	2	1	2	2	0	0	0	4	3
OTU632	5	3	5	11	5	8	3	18	13	10	10	8
OTU836	6	3	3	12	0	13	8	11	2	5	2	3
OTU803	8	10	10	17	15	24	9	12	4	10	12	8
OTU802	3	3	0	0	0	0	2	2	2	3	0	0
OTU535	7	0	1	4	5	7	0	2	2	2	2	4
OTU1156	0	1	2	2	1	4	0	1	0	2	4	1
OTU1658	8	5	3	6	0	0	5	8	0	4	1	0
OTU1505	1	5	5	6	12	5	5	3	4	5	3	6
OTU666	10	8	10	10	3	1	1	4	11	16	4	1
OTU989	2	0	2	1	3	1	6	0	1	0	1	0
OTU343	3	8	2	5	3	6	0	9	1	4	8	4
OTU1944	1	4	2	2	1	0	1	5	0	3	2	2
OTU424	2	5	3	3	0	0	10	6	2	4	0	0
OTU633	4	13	3	3	0	0	4	12	3	11	0	0
OTU1089	0	1	0	0	0	0	0	0	0	1	0	0
OTU318	5	10	7	10	2	13	2	3	2	4	8	21
OTU597	2	1	2	2	0	0	6	2	6	3	0	0
OTU436	1	2	3	0	1	5	2	0	1	0	3	4
OTU1907	13	9	19	12	9	13	17	9	7	10	5	5
OTU541	15	6	14	14	5	0	12	9	2	23	4	2
OTU635	1	0	0	0	0	0	0	0	0	0	0	0
OTU39	1	0	0	3	1	0	11	1	0	2	3	3
OTU99	1	0	6	2	2	3	1	0	3	0	8	3
OTU192	0	0	0	0	0	0	1	0	4	0	0	1
OTU80	0	0	1	0	0	0	1	0	2	0	0	0
OTU255	2	4	7	8	3	1	2	1	11	1	12	5
OTU349	22	10	3	0	0	0	0	2	0	0	8	1
OTU250	5	1	1	2	2	0	5	0	0	6	1	0
OTU771	25	16	28	3	15	7	14	2	40	6	10	9
OTU1806	0	0	1	1	0	0	1	0	0	0	0	0
OTU223	9	5	12	2	8	6	4	0	6	1	1	1
OTU45	0	2	3	0	17	0	0	0	0	0	0	0
OTU902	10	12	25	7	17	3	7	6	14	5	5	6
